date,speaker,party,committee,text,url
2025-01-24,会議録情報,,本会議,令和七年一月二十四日（金曜日） ――――――――――――― 議事日程第一号令和七年一月二十四日正午開議第一議席の指定 ... 一国務大臣の演説 ――――――――――――― ○本日の会議に付した案件日程第一議席の指定東日本大震災からの復興・防災・災害に関する総合的な対策を樹立するため委員四十人よりなる東日本大震災復興・防災・災害対策に関する特別委員会、政治改革に関する調査を行うため委員四十人よりなる政治改革に関する特別委員会、沖縄及び北方問題に関する対策樹立のため委員二十五人よりなる沖縄及び北方問題に関する特別委員会、北朝鮮による拉致等に関する諸問題を調査し、その対策樹立に資するため委員二十五人よりなる北朝鮮による拉致問題等に関する特別委員会、消費者の利益の擁護及び増進等に関する総合的な対策を樹立するため委員三十五人よりなる消費者問題に関する特別委員会、原子力に関する諸問題を調査するため委員三十五人よりなる原子力問題調査特別委員会及び地域活性化・こども政策・デジタル社会形成に関する総合的な対策を樹立するため委員三十五人よりなる地域活性化・こども政策・デジタル社会形成に関する特別委員会を設...,https://kokkai.ndl.go.jp/txt/121705254X00120250124/0
2025-01-24,額賀福志郎,無所属,本会議,○議長（額賀福志郎君） 諸君、第二百十七回国会は本日召集されました。これより会議を開きます。――――◇――――― 日程第一議席の指定,https://kokkai.ndl.go.jp/txt/121705254X00120250124/1
2025-01-24,額賀福志郎,無所属,本会議,○議長（額賀福志郎君） 日程第一、議席の指定を行います。衆議院規則第十四条によりまして、諸君の議席は、議長において、ただいまの仮議席のとおりに指定いたします。――――◇――――― 特別委員会設置の件,https://kokkai.ndl.go.jp/txt/121705254X00120250124/2
2025-01-24,額賀福志郎,無所属,本会議,○議長（額賀福志郎君） 特別委員会の設置につきお諮りいたします。東日本大震災からの復興・防災・災害に関する総合的な対策を樹立するため委員四十人よりなる東日本大震災復興・防災・災害対策に関する特別委員会政治改革に関する調査を行うため委員四十人よりなる政治改革に関する特別委員会沖縄及び北方問題に関する対策樹立のため委員二十五人よりなる沖縄及び北方問題に関する特別委員会北朝鮮による拉致等に関する諸問題を調査し、その対策樹立に資するため委員二十五人よりなる北朝鮮による拉致問題等に関する特別委員会消費者の利益の擁護及び増進等に関する総合的な対策を樹立するため委員三十五人よりなる消費者問題に関する特別委員会原子力に関する諸問題を調査するため委員三十五人よりなる原子力問題調査特別委員会及び地域活性化・こども政策・デジタル社会形成に関する総合的な対策を樹立するため委員三十五人よりなる地域活性化・こども政策・デジタル社会形成に関する特別委員会を設置いたしたいと存じます。これに御異議ありませんか。〔「異議なし」と呼ぶ者あり〕,https://kokkai.ndl.go.jp/txt/121705254X00120250124/3
2025-01-24,額賀福志郎,無所属,本会議,○議長（額賀福志郎君） 御異議なしと認めます。よって、そのとおり決まりました。ただいま議決されました七特別委員会の委員は追って指名いたします。――――◇―――――,https://kokkai.ndl.go.jp/txt/121705254X00120250124/4
2025-01-24,額賀福志郎,無所属,本会議,○議長（額賀福志郎君） この際、暫時休憩いたします。午後零時四分休憩 ――――◇――――― 午後二時二分開議,https://kokkai.ndl.go.jp/txt/121705254X00120250124/5
2025-01-24,額賀福志郎,無所属,本会議,○議長（額賀福志郎君） 休憩前に引き続き会議を開きます。――――◇――――― 国務大臣の演説,https://kokkai.ndl.go.jp/txt/121705254X00120250124/6
2025-01-24,額賀福志郎,無所属,本会議,○議長（額賀福志郎君） 内閣総理大臣から施政方針に関する演説、外務大臣から外交に関する演説、財務大臣から財政に関する演説、赤澤国務大臣から経済に関する演説のため、発言を求められております。順次これを許します。内閣総理大臣石破茂君。〔内閣総理大臣石破茂君登壇〕,https://kokkai.ndl.go.jp/txt/121705254X00120250124/7
2025-01-24,石破茂,自由民主党・無所属の会,本会議,○内閣総理大臣（石破茂君） 今年は戦後八十年、そして昭和の元号で百年に当たる節目の年です。これまでの日本の歩みを振り返り、これからの新しい日本を考える年にいたしてまいります。そのためには、我が国の直面する現実を直視しなければなりません。我が国の生産年齢人口は、これからの二十年で千五百万人弱、二割以上が減少すると見込まれております。このような中、かつて人口増加期に作り上げられた経済社会システムを検証し、中長期的に信頼される持続可能なシステムへと転換していくことが求められております。今や、我が国は人材希少社会に入っています。年齢や障害の有無にかかわらず希少な人材を大事にする社会づくり、すなわち、国民一人一人の幸福実現を可能にする、人中心の国づくりを進め、すべての人が幸せを実感できる、人を財産として尊重する人財尊重社会を築いていく必要があります。加えて、食料自給力、エネルギー自給率が低い現状では、外的な事象に国民生活が大きく影響を受けてしまう懸念があります。より自立した形で国民生活を守ることができるよう、戦略的な国家運営が必要です。新しい日本を創る上で、サステーナブルでインディペンデントであ...,https://kokkai.ndl.go.jp/txt/121705254X00120250124/8
2025-01-24,額賀福志郎,無所属,本会議,○議長（額賀福志郎君） 外務大臣岩屋毅君。〔国務大臣岩屋毅君登壇〕,https://kokkai.ndl.go.jp/txt/121705254X00120250124/9
