date,speaker,party,committee,text,url
2025-05-16,牧野たかお,自由民主党,議院運営委員会,○委員長（牧野たかお君） ただいまから議院運営委員会を開会いたします。まず、理事の補欠選任についてお諮りいたします。委員の異動に伴い理事が一名欠員となっておりますので、この際、その補欠選任を行いたいと思います。割当て会派推薦のとおり、石橋通宏君を理事に選任することに御異議ございませんか。〔「異議なし」と呼ぶ者あり〕,https://kokkai.ndl.go.jp/txt/121714024X02020250516/1
2025-05-16,牧野たかお,自由民主党,議院運営委員会,○委員長（牧野たかお君） 御異議ないと認め、さよう決定いたします。---,https://kokkai.ndl.go.jp/txt/121714024X02020250516/2
2025-05-16,牧野たかお,自由民主党,議院運営委員会,○委員長（牧野たかお君） 次に、本会議における議案の趣旨説明聴取及び質疑に関する件を議題といたします。本件につきましては、理事会において協議いたしました結果、人工知能関連技術の研究開発及び活用の推進に関する法律案につき、本日の本会議においてその趣旨説明を聴取するとともに、立憲民主・社民・無所属一人十五分、日本維新の会、国民民主党・新緑風会及び日本共産党各々一人十分の質疑を順次行うことに意見が一致いたしました。理事会申合せのとおり決定することに御異議ございませんか。〔「異議なし」と呼ぶ者あり〕,https://kokkai.ndl.go.jp/txt/121714024X02020250516/3
2025-05-16,牧野たかお,自由民主党,議院運営委員会,○委員長（牧野たかお君） 御異議ないと認め、さよう決定いたします。---,https://kokkai.ndl.go.jp/txt/121714024X02020250516/4
2025-05-16,牧野たかお,自由民主党,議院運営委員会,○委員長（牧野たかお君） 次に、本日の本会議の議事に関する件を議題といたします。事務総長の説明を求めます。,https://kokkai.ndl.go.jp/txt/121714024X02020250516/5
2025-05-16,小林史武,,議院運営委員会,○事務総長（小林史武君） 御説明申し上げます。本日の議事は、最初に、人工知能関連技術の研究開発及び活用の推進に関する法律案の趣旨説明でございます。まず、日程に追加して提出者の趣旨説明を求めることを異議の有無をもってお諮りいたします。異議がないと決しますと、城内国務大臣から趣旨説明があり、これに対し、杉尾秀哉君、片山大介君、竹詰仁君、井上哲士君の順に質疑を行います。次に、日程第一について、地方創生及びデジタル社会の形成等に関する特別委員長が報告された後、採決いたします。次に、日程第二について、財政金融委員長が報告された後、採決いたします。次に、日程第三について、経済産業委員長が報告された後、採決いたします。次に、日程第四について、法務委員長が報告された後、採決いたします。次に、日程第五及び第六を一括して議題とした後、内閣委員長が報告されます。次いで、井上哲士君、鬼木誠君、柴田巧君、竹詰仁君各々十分の討論の後、両案を一括して採決いたします。なお、本日の議案の採決は、いずれも押しボタン式投票をもって行います。以上をもちまして本日の議事を終了いたします。その所要時間は約二時間三十五分の見込みで...,https://kokkai.ndl.go.jp/txt/121714024X02020250516/6
2025-05-16,牧野たかお,自由民主党,議院運営委員会,○委員長（牧野たかお君） ただいまの事務総長説明のとおり本日の本会議の議事を進めることに御異議ございませんか。〔「異議なし」と呼ぶ者あり〕,https://kokkai.ndl.go.jp/txt/121714024X02020250516/7
2025-05-16,牧野たかお,自由民主党,議院運営委員会,○委員長（牧野たかお君） 御異議ないと認め、さよう決定いたします。なお、予鈴は午前九時五十五分、本鈴は午前十時でございます。暫時休憩いたします。午前九時四十三分休憩 〔休憩後開会に至らなかった〕,https://kokkai.ndl.go.jp/txt/121714024X02020250516/8
2025-05-15,浜田靖一,自由民主党・無所属の会,議院運営委員会,○浜田委員長これより会議を開きます。本日の本会議の議事の順序について、事務総長の説明を求めます。,https://kokkai.ndl.go.jp/txt/121704024X02720250515/1
2025-05-15,築山信彦,,議院運営委員会,○築山事務総長まず、日程第一につき、金子東日本大震災復興・防災・災害対策に関する特別委員長の報告がございまして、れいわ新選組及び日本保守党が反対でございます。次に、日程第二につき、御法川農林水産委員長の報告がございまして、れいわ新選組、参政党及び日本保守党が反対でございます。次に、日程第三につき、渡辺政治改革に関する特別委員長の報告がございまして、れいわ新選組及び日本保守党が反対でございます。次に、日程第四につき、中村文部科学委員長の報告がございまして、れいわ新選組及び日本共産党が反対でございます。次に、日程第五につき、井林財務金融委員長の報告がございまして、れいわ新選組が反対でございます。次に、日程第六につき、宮崎経済産業委員長の報告がございまして、れいわ新選組、日本共産党、参政党及び日本保守党が反対でございます。次に、日程第七につき、井上国土交通委員長の報告がございまして、れいわ新選組、日本共産党及び有志の会が反対でございます。本日の議事は、以上でございます。――――――――――――― 議事日程第二十四号令和七年五月十五日午後一時開議第一株式会社地域経済活性化支援機構法の一部を改正...,https://kokkai.ndl.go.jp/txt/121704024X02720250515/2
