date,speaker,party,committee,text,url
2025-04-11,遠藤敬,日本維新の会,安全保障委員会,○遠藤委員長これより会議を開きます。内閣提出、防衛省設置法等の一部を改正する法律案を議題といたします。この際、お諮りいたします。本案審査のため、本日、政府参考人として、お手元に配付のとおり、外務省大臣官房審議官大河内昭博君外十一名の出席を求め、説明を聴取いたしたいと存じますが、御異議ありませんか。〔「異議なし」と呼ぶ者あり〕,https://kokkai.ndl.go.jp/txt/121703815X00720250411/1
2025-04-11,遠藤敬,日本維新の会,安全保障委員会,○遠藤委員長御異議なしと認めます。よって、そのように決しました。―――――――――――――,https://kokkai.ndl.go.jp/txt/121703815X00720250411/2
2025-04-11,遠藤敬,日本維新の会,安全保障委員会,○遠藤委員長これより質疑に入ります。質疑の申出がありますので、順次これを許します。鈴木英敬君。,https://kokkai.ndl.go.jp/txt/121703815X00720250411/3
2025-04-11,鈴木英敬,自由民主党・無所属の会,安全保障委員会,○鈴木（英）委員おはようございます。自民党の鈴木英敬です。今日の質問の機会をいただきました理事の皆さん始め、関係者の皆さんに感謝を申し上げたいと思います。法案の話に入る前に、まず、今話題のトランプ関税に関連しての日米の防衛産業協力の在り方について大臣にお伺いしたいと思います。アメリカは、国防省のレポートにもありますとおり、艦船、ミサイル、半導体、重要鉱物を含めて、防衛装備品の重要サプライチェーンの強靱化に苦慮している、これは彼ら自身も認めているところであるわけです。そういう中、日本が持っている物づくりの能力を生かすことで、アメリカの防衛サプライチェーンを補完することが可能だと思っております。だからこそ、私は、今の関税の日米交渉においては、日本がこれまで投資してきたよという経済的利益の日本の貢献だけを主張するのではなくて、防衛産業協力によってアメリカの安全保障環境の向上にも貢献が可能だということをしっかりと主張すべきだと思っていまして、中谷大臣も政府の対策本部の一員でいらっしゃいますので、是非しっかり取り組んでほしいと思います。そこで、アメリカとの安全保障面での産業協力を深め、アメリカの...,https://kokkai.ndl.go.jp/txt/121703815X00720250411/4
2025-04-11,中谷元,自由民主党・無所属の会,安全保障委員会,○中谷国務大臣今般の米国政府による措置は、日米両国の経済関係、ひいては世界経済、多角的貿易体制全体に大きな影響を及ぼしかねない非常に大事な問題でございまして、防衛省といたしましても、本日、第二回の米国関税措置に対する関係閣僚会議総合対策本部が開催されまして、関係省庁と連携しまして我が国の防衛産業への影響の分析等を今進めているわけでございます。その上で、トランプ新政権は、米国の防衛産業基盤が抱える課題を解決し、回復させることを重視していると承知しておりますが、日米両国の防衛産業基盤の相互補完及び強化を進めることは日米同盟の抑止力、対処力の強化のために死活的に重要でありまして、一層加速させていかなければなりません。先日のヘグセス長官との日米防衛相会談におきましても、ＤＩＣＡＳ、これは日米防衛産業協力・取得・維持整備定期協議のことでありますが、この枠組みを効果的に活用しつつ、ミサイルの共同生産、米軍艦船、航空機の共同維持整備に向けた取組を加速していくことを確認しました。こうした取組によりまして日米のサプライチェーンを互いに強化していくことは大変有意義なことであると考えておりまして、我が国の防...,https://kokkai.ndl.go.jp/txt/121703815X00720250411/5
2025-04-11,鈴木英敬,自由民主党・無所属の会,安全保障委員会,○鈴木（英）委員ありがとうございます。力強い御答弁をいただきました。アメリカに、経済面だけではなくて安全保障も含めて日本が貢献している、そして、日米同盟をしっかり強化することがアメリカにとってもメリットがあるという主張を是非お願いしたいと思います。防衛産業の在り方についてもう一つお伺いしたいと思います。アメリカとの防衛装備品の協力を進めていく上では、前提として、日本の防衛産業がより強化されることが必要です。防衛における新しい戦い方が進む中ではイノベーション力を強化していくことが重要で、プライム企業だけではなくて、スタートアップのポテンシャルを活用しなければなりません。そこで、新たな研究所の創設や、経産省と連携してスタートアップとのマッチング、スタートアップが有する先端技術の活用に向けた取組などを近年強化していますが、これまでの調達実績などの成果、また、今後の活用加速に向けた取組についてお伺いします。,https://kokkai.ndl.go.jp/txt/121703815X00720250411/6
2025-04-11,坂本大祐,,安全保障委員会,○坂本政府参考人お答え申し上げます。防衛省では、委員御指摘のとおり、スタートアップ企業との連携は非常に重要であると考えております。また、これも委員御指摘のとおり、経産省との間で、防衛産業へのスタートアップ活用に向けた合同推進会などのスタートアップとのマッチングの場を設定し、推進しているところでございます。早期装備化のための取組において、自衛隊の装備品への活用を念頭に置きまして、優れたスタートアップの技術の活用を図るとともに、スタートアップの先進的な基礎研究も防衛省として支援しているところでございます。こうした取組の結果といたしまして、ＡＩでありますとか、無人機、ドローン、宇宙など、様々な分野でスタートアップとの契約が締結されつつあるところでございます。また、昨年十二月には、政府全体の取組に倣いまして、技術力のあるスタートアップ企業が一定の要件を満たした場合には随意契約を結ぶことを可能とする制度を導入したところでございます。防衛省といたしましては、こうした取組や制度を通じてスタートアップの参入を更に促し、その先端技術を積極的に取り込むことで、新しい戦い方に必要な装備品の早期取得に引き続き...,https://kokkai.ndl.go.jp/txt/121703815X00720250411/7
2025-04-11,鈴木英敬,自由民主党・無所属の会,安全保障委員会,○鈴木（英）委員ありがとうございます。おっしゃっていただいているとおりで、大事なことは、スタートアップ、あるいは既に参入している中小サプライヤー、そういう人たちの利益率の上昇、適正な利益の確保を防衛省・自衛隊の調達でしっかりやっていくことがイノベーションにもつながり、防衛力の強化につながりますので、是非そういう点もこれから御配慮いただきたいと思います。では、今回の改正案について問うていきますが、まず、海上自衛隊情報作戦集団の新たな編成についてお伺いします。現在の世界の安全保障環境や各国の動向を踏まえれば、これは単にこれまでの延長線上の組織であってはならないと思っていまして、私は大いに期待しています。まず、今回の新たな編成の動機においてどういうことを課題と捉えて、その上でどういう効果を期待するのか、改めてお伺いしたいと思います。続けて、作戦情報群に関しまして、防衛省・自衛隊の情報戦における中核は情報本部でありますので、そことの連携、あるいは、我が国周辺における海洋安全保障の状況を考えれば、アメリカ、韓国、フィリピン、台湾を中心としたカウンターパートとの連携も不可欠です。こういう国内外の他...,https://kokkai.ndl.go.jp/txt/121703815X00720250411/8
2025-04-11,青柳肇,,安全保障委員会,○青柳政府参考人近年、国際社会におきましては、紛争が生起していない段階から、偽情報等により他国の世論や意思決定に影響を及ぼすとともに、自らに有利な安全保障環境の構築を企図する情報戦に重点が置かれているところでございます。海上自衛隊におきましても、あらゆる手段を総動員して正確な情報を把握し、それに基づく迅速な対処が可能な体制を構築することが必要でございます。海上自衛隊におきましては、現在、情報の収集、分析、対処という情報戦に係る機能が自衛艦隊隷下、各地方隊隷下、大臣直轄部隊に分散しておるところでございます。このため、各組織固有の観点からの情報の収集、分析となるため、海上自衛隊全体としての総合的な情報の収集、分析体制や、情報成果の活用に課題があるところでございます。そこで、情報戦に係る機能を有します部隊を整理、集約いたしまして、情報戦基幹部隊として情報作戦集団を新編することによりまして、効果的、効率的な情報の収集、分析が行われることで、海上自衛隊における情報戦への対応能力が強化されることになります。なお、情報分野につきましても、同盟国、同志国等との連携を行っていくことは当然重要でございます...,https://kokkai.ndl.go.jp/txt/121703815X00720250411/9
2025-04-11,鈴木英敬,自由民主党・無所属の会,安全保障委員会,○鈴木（英）委員ありがとうございます。続いては、サイバー防護群についてです。防衛省は、令和六年七月に防衛省サイバー人材総合戦略をつくりました。自衛隊サイバー防衛隊の増員分を今回の法案でも百三十人にするというのがありますけれども、これを実行していくためには、ＮＩＳＣや警察との連携、あるいは海外同志国との連携も重要です。この国内外組織との連携についてお伺いしたいと思います。あわせて、先日衆議院で可決されましたサイバー対処能力強化法案が成立したら、去年つくった戦略をサイバー法案の実装も踏まえて見直さないといけないと思いますが、戦略の見直し、定期的なローリング、これについての考え方もお伺いします。,https://kokkai.ndl.go.jp/txt/121703815X00720250411/10
2025-04-11,家護谷昌徳,,安全保障委員会,○家護谷政府参考人お答えいたします。防衛省・自衛隊では、陸海空自衛隊の学校における教育に加え、国内外の部外教育機関における教育、企業研修を活用しましてサイバー専門部隊の隊員の育成を図っております。また、このような教育や研修に加えて、米国や英国を始めとする諸外国との間でサイバー演習や協議を積極的に行い、隊員が実践的な経験を積むことができる機会を確保しております。例えば、昨年四月に行われました、ＮＡＴＯのサイバー防衛協力センターが主催しておりますロックドシールズ二〇二四演習におきましては、ＮＩＳＣや警察庁等の関係省庁、それから重要インフラ事業者、英国防省、こういった人たちと合同チームを編成して部外の組織との相互連携の強化を図ってまいりました。今後につきましても、教育、研修、サイバー演習などにおける部外との連携を更に強化し、サイバー人材の確保、育成を実効的に強化するための取組を進めてまいります。それから、戦略についてでございますけれども、非常に重要なものだと思っておりまして、政府全体の取組の状況も非常に大きく変わってきております。それから、技術の進展も速い世界でございますので、こういったサイ...,https://kokkai.ndl.go.jp/txt/121703815X00720250411/11
